fips,name,state,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),% of State Median HH Income
48259,Kendall,TX,4.1,3.3,3.2,3.1,2.9,2.7,5.1,3.9,3.1,102832,153.6
48261,Kenedy,TX,3,3.2,4.6,3.3,3.7,3.5,5.6,5.9,6.1,42379,63.3
48263,Kent,TX,3.5,2.6,3,2.7,2.5,2.3,3.9,2.9,2.1,54154,80.9
48265,Kerr,TX,4.4,3.7,3.6,3.4,3.3,3,5.9,4.6,3.6,60834,90.9
48267,Kimble,TX,3.9,3.7,3.8,3.6,3,3,5,4.2,3.4,48671,72.7
48269,King,TX,4,3.5,3.9,3.7,2.9,2.1,1.7,0.9,0.9,74890,111.8
48271,Kinney,TX,7.3,6.4,5.8,5.6,4.4,3.6,6,5.6,4.7,50567,75.5
48273,Kleberg,TX,5.5,5.9,6.7,6,5,4.3,8.5,7,4.8,49226,73.5
48275,Knox,TX,4.4,3.8,4.2,4,3.6,3.2,5.6,4.7,3.9,45558,68
48277,Lamar,TX,6.2,4.8,4.6,4.2,3.8,3.4,6.4,5.5,4.3,50787,75.8
48279,Lamb,TX,5.9,9,6.5,5.2,4.4,3.8,5.2,5,4,48981,73.2
48281,Lampasas,TX,5.7,4.4,4.2,3.8,3.8,3.3,5.4,4.9,3.7,64401,96.2
48283,La Salle,TX,3.1,4.2,5.1,3.7,2.4,2.4,6.7,4.3,2.8,40549,60.6
48285,Lavaca,TX,4,3.8,4.2,3.6,3.1,3,5.2,4.5,3.3,54421,81.3
48287,Lee,TX,4,3.6,3.8,3.3,3.1,2.6,5,4.4,3.5,59469,88.8
48289,Leon,TX,5.4,5.4,6.5,6.4,5,4.4,7.8,7,5.2,51582,77
48291,Liberty,TX,7.3,7,7.5,7.2,5.9,5,10.5,9,5.8,57174,85.4
48293,Limestone,TX,5.9,5.1,5.6,5.6,4.7,3.9,7.1,6.2,4.6,50381,75.2
48295,Lipscomb,TX,3.4,3.9,4.4,3.2,2.7,2.7,4.1,3.8,3.1,64249,96
48297,Live Oak,TX,3.6,4,5.9,4.7,3.8,3.1,7.5,6.7,4.2,52910,79
48299,Llano,TX,5.2,4.3,4.2,3.8,3.7,3.5,5.8,4.9,3.8,61037,91.2
48301,Loving,TX,5.1,5.2,4.7,5,1.5,0.8,1.7,1,0.6,100917,150.7
48303,Lubbock,TX,4,3.4,3.4,3.2,3.1,2.8,5.8,4.6,3.4,57270,85.5
48305,Lynn,TX,4.4,4.1,4,3.8,3.3,3,5.5,4.3,3.5,50374,75.2
48307,McCulloch,TX,4.3,4.8,4.5,3.6,3.3,5.2,7.6,6.4,4.2,43525,65
48309,McLennan,TX,5.1,4.1,4,3.9,3.6,3.3,6.2,4.8,3.6,58524,87.4
48311,McMullen,TX,2,2.1,2.1,1.9,1.8,1.6,2.8,2.3,1.8,63120,94.3
48313,Madison,TX,4.9,4.3,5.1,4.8,4.5,4.2,7.2,6.2,4.3,48251,72.1
48315,Marion,TX,6.5,6.5,7,5.7,4.5,4.2,8.3,6.8,5,43178,64.5
48317,Martin,TX,3.4,3.5,4.4,3.3,2.5,2.6,6.1,4.8,3.1,69505,103.8
48319,Mason,TX,4.6,3.9,3.6,3.4,3.1,3.2,5.6,4.8,3.3,56690,84.7
48321,Matagorda,TX,8,6.8,7.3,7.4,6.2,5.7,10.5,8.1,5.9,50054,74.8
48323,Maverick,TX,11.1,10.7,11.3,9.4,8.2,7.6,15.2,12.3,7.9,41815,62.4
48325,Medina,TX,5,4.4,4.4,3.9,3.5,3.2,6.4,5,3.8,62907,93.9
48327,Menard,TX,4.8,5.3,4.5,4.9,4.1,3.5,5.1,4.8,3.8,41507,62
48329,Midland,TX,2.9,3.5,4.4,3,2.1,2.1,8.1,5.5,2.9,84837,126.7
48331,Milam,TX,6.3,5.3,5.2,5.1,5.5,5,7.2,5.8,4.3,53320,79.6
48333,Mills,TX,4.4,3.7,4.2,3.6,3.6,3.3,4.1,4.5,4.2,54948,82.1
48335,Mitchell,TX,4.3,5.7,7,5.5,4.2,3.7,7.9,7,4.4,44476,66.4
48337,Montague,TX,4,4.3,5,4,3.2,2.9,6.7,5.2,3.6,54988,82.1
48339,Montgomery,TX,4.5,4.3,4.9,4.4,3.8,3.4,7.5,5.8,3.9,87831,131.2
48341,Moore,TX,3.5,3.1,3,2.9,2.7,2.3,3.7,3.4,2.6,61833,92.3
48343,Morris,TX,7.9,8.9,10.9,8.7,6.6,5.3,11.3,10.2,6.3,44957,67.1
48345,Motley,TX,4.2,3.7,3.5,3.7,3.7,3.4,4.6,5.1,4.1,47835,71.4
48347,Nacogdoches,TX,5.4,4.7,4.7,4.3,3.9,3.7,6.6,5.5,4.3,46970,70.1
48349,Navarro,TX,5.3,4.2,4.2,4,3.7,3.3,6.2,5.1,3.9,51015,76.2
48351,Newton,TX,8.4,7.6,7.9,8,6.8,6.3,11.2,10.2,6.8,44030,65.8
48353,Nolan,TX,4.3,4.1,4.8,4.1,3.3,2.9,5.4,4.7,3.7,44342,66.2
48355,Nueces,TX,5.2,5,5.6,5.5,4.7,4.1,8.9,6.8,4.7,59337,88.6
48357,Ochiltree,TX,3,4.3,5.3,3.7,2.8,2.7,5.8,4.6,3.4,60914,91
48359,Oldham,TX,3.7,3,3,2.6,2.7,2.9,3.9,3.6,3,62868,93.9
48361,Orange,TX,8.1,6.6,6.7,7,5.8,5.2,10.6,8.8,5.7,65908,98.4
48363,Palo Pinto,TX,5.2,5.2,5.5,4.1,3.4,3.2,7,5.7,3.8,57580,86
48365,Panola,TX,5,5.3,7.2,5.5,4.2,4,8.4,6.6,4.6,54244,81
48367,Parker,TX,4.6,4.2,4.1,3.5,3.1,2.9,5.8,4.5,3.3,85613,127.9
48369,Parmer,TX,3.1,2.4,2.5,2.5,2.4,2.2,2.6,2.9,2.4,56632,84.6
48371,Pecos,TX,4.2,5.2,5.9,4.7,3.7,3.3,8.3,6.9,4,49291,73.6
48373,Polk,TX,6.5,6.1,6.3,6.1,5.1,4.8,8.8,7.9,5.5,50827,75.9
48375,Potter,TX,4,3.4,3.4,3.2,2.9,2.7,5.5,4.3,3.2,45904,68.6
48377,Presidio,TX,11.8,10.7,10.7,9.5,7,6.4,14.9,10.2,6.2,39791,59.4
48379,Rains,TX,5,4.6,4,3.6,3.5,3,4.7,3.9,3.4,57294,85.6
48381,Randall,TX,3.5,2.9,3,2.8,2.6,2.4,4.5,3.6,2.8,72082,107.7
48383,Reagan,TX,3.2,4.6,6.2,3.9,2.5,2.6,9.8,7.3,3.5,65162,97.3
48385,Real,TX,6.3,5.2,5.7,5.7,5,3.9,6.6,6,4.6,46907,70.1
48387,Red River,TX,7.9,6.4,5.8,5.3,5.4,4.6,6.4,5.9,5.1,46134,68.9
48389,Reeves,TX,4.1,4.8,5.3,3.6,2.1,1.8,7.2,5.8,3.4,46275,69.1
48391,Refugio,TX,4.3,5.4,6.6,5.6,4.6,3.7,8.3,6.6,4.7,46695,69.7
48393,Roberts,TX,3.8,3.9,4.5,3.9,2.8,2.9,4.5,4.2,3.8,73224,109.4
48395,Robertson,TX,5.4,4.8,5.1,4.8,4.2,3.6,6.4,5.2,3.8,50816,75.9
48397,Rockwall,TX,4.6,3.8,3.5,3.4,3.3,3.1,5.9,4.4,3.3,120696,180.3
48399,Runnels,TX,4.3,3.7,4,3.7,3.2,2.8,4.9,4.1,3.3,48190,72
48401,Rusk,TX,5,4.8,5.8,5.1,4.1,3.6,7.4,6,4.2,53186,79.4
48403,Sabine,TX,10.7,9.4,9.4,8.7,8,6.6,10.9,9.4,7,46233,69
48405,San Augustine,TX,9.7,9.1,8.9,7.5,6.5,4.8,9.6,8.1,5.8,43335,64.7
48407,San Jacinto,TX,5.8,5.6,6.3,5.8,5,4.6,8.1,7.3,4.8,52302,78.1
48409,San Patricio,TX,6.3,6.6,7.5,7.7,6.4,5.5,10.2,8.7,6,58227,87
48411,San Saba,TX,4.2,3.7,3.4,3.3,3.1,2.9,5.2,4.7,3.5,45437,67.9
48413,Schleicher,TX,3,5.3,5.2,3.8,2.9,2.8,6.9,5.5,3.5,52408,78.3
48415,Scurry,TX,3.4,4.2,5.9,4.4,3.4,3.2,8.3,6.6,4.1,49727,74.3
48417,Shackelford,TX,2.8,2.9,3.8,3,2.3,2.2,5.3,4,2.7,61351,91.6
48419,Shelby,TX,5.9,5.3,6,5.2,4.3,3.9,6.8,5.4,4.2,43244,64.6
48421,Sherman,TX,3.2,2.7,3,3.1,2.7,2.4,3.1,3.1,2.8,62557,93.4
48423,Smith,TX,5.3,4.5,4.5,4.1,3.7,3.3,6.8,5.2,3.7,62903,93.9
48425,Somervell,TX,5.2,5.1,4.8,4.6,4.2,3.6,6.6,5.2,3.8,68280,102
48427,Starr,TX,13.8,13.6,13.4,11.9,10.2,9.9,17.5,15.6,11,33535,50.1
48429,Stephens,TX,4.4,4.2,5.3,4.6,3.6,3,6.1,4.9,3.7,46064,68.8
48431,Sterling,TX,3,3.5,3.9,3.7,3.5,3.2,6.5,5.1,4,69212,103.4
48433,Stonewall,TX,3.9,4.4,4.4,3.6,3.4,2.9,5.1,4.2,3,49813,74.4
48435,Sutton,TX,3.6,6.1,8,5.1,3.9,3.8,9.9,8.1,5.7,59905,89.5
48437,Swisher,TX,6.2,4.8,4.3,4.1,4.3,3.7,5.2,5,4,45509,68
48439,Tarrant,TX,5.1,4.2,4,3.8,3.5,3.3,7.4,5.3,3.6,71399,106.6
48441,Taylor,TX,4.3,3.7,3.7,3.6,3.2,2.9,5.5,4.4,3.3,53820,80.4
48443,Terrell,TX,4.6,4.8,4.2,4.6,3.5,3.5,4.5,3.6,3.4,44343,66.2
48445,Terry,TX,4.4,4.7,4.8,5.1,4.1,3.7,7.3,6,4.1,42225,63.1
48447,Throckmorton,TX,4,3.2,3.5,4.4,3.3,3.7,4.9,2.9,3.1,46253,69.1
48449,Titus,TX,6.4,5.8,6.2,5.4,5.1,4.1,6.7,5.4,4.3,49513,73.9
48451,Tom Green,TX,4.1,4.1,4.5,3.7,3.2,3,6.4,4.9,3.4,60750,90.7
48453,Travis,TX,4.1,3.3,3.2,3.1,2.9,2.6,6.4,4.1,2.8,84519,126.2
48455,Trinity,TX,6.1,5.9,6.1,5.6,5.2,4.8,8.1,7.3,5.2,46569,69.5
48457,Tyler,TX,8.1,7.1,7.3,7.4,6.7,5.7,9.9,8.5,6,46955,70.1
48459,Upshur,TX,5.2,5.3,6.4,5.3,4.2,3.7,7.7,6.2,4.3,51634,77.1
48461,Upton,TX,3.3,3.9,5.3,3.8,3.4,3,5.7,5.2,2.7,49340,73.7
48463,Uvalde,TX,5.8,5.1,5.3,4.7,4.3,3.8,6.4,5.5,4.4,48438,72.3
48465,Val Verde,TX,5.8,6,6.3,5.1,3.9,3.3,8.4,5.9,4.5,50532,75.5
48467,Van Zandt,TX,5.4,4.5,4.3,3.8,3.5,3.3,6.2,4.8,3.5,59929,89.5
48469,Victoria,TX,4.2,4.2,5.4,4.9,3.9,3.5,8.3,6.3,4.2,57142,85.3
48471,Walker,TX,5.5,5.1,5.3,4.7,4.2,3.9,7.2,6.3,4.7,43012,64.2
48473,Waller,TX,5.2,4.8,5.6,4.9,4.3,3.8,7.6,6.3,4.3,65437,97.7
48475,Ward,TX,3.6,4.3,5.7,4.1,2.6,2.4,9.5,6.9,3.7,58461,87.3
48477,Washington,TX,4.7,4.8,5.1,4.3,3.7,3.4,5.7,5.3,4,66601,99.5
48479,Webb,TX,5.2,4.8,4.9,4.2,3.8,3.7,8.5,6.3,4.1,50865,76
48481,Wharton,TX,4.7,4.4,5,4.5,3.7,3.4,6.8,5.7,3.8,56522,84.4
48483,Wheeler,TX,3.6,3.9,4.8,4,3.2,3,6.1,6.2,3.9,49282,73.6
48485,Wichita,TX,4.9,4.3,4.4,3.7,3.4,3.2,6.7,5.3,3.9,53148,79.4
48487,Wilbarger,TX,5,4.9,4.7,4.7,4.2,3.6,5.9,6.6,4.9,48117,71.9
48489,Willacy,TX,12.5,13.1,12.3,11.1,9.9,8.3,12,10.1,8.2,37087,55.4
48491,Williamson,TX,4.4,3.5,3.4,3.3,3.1,2.8,5.8,4,2.9,96653,144.3
48493,Wilson,TX,4.2,3.8,3.9,3.5,3.1,2.8,5.7,4.4,3.3,78794,117.7
48495,Winkler,TX,4.4,5.7,7.7,5.2,2.9,2.9,9.5,7.5,3.9,62477,93.3
48497,Wise,TX,4.9,4.7,4.7,4,3.5,3.2,6.6,4.9,3.5,77668,116
48499,Wood,TX,6,5.3,5.3,4.7,4.3,3.9,6.6,5.7,4.5,53485,79.9
48501,Yoakum,TX,3.1,3.8,4.8,3.6,2.9,2.9,12,7.6,4,66816,99.8
48503,Young,TX,4.1,4.3,4.4,3.8,3.3,3,5.3,4.6,3.4,53715,80.2
48505,Zapata,TX,5.3,7.7,10.8,7.5,5.6,5,12.3,11.7,6.9,37474,56
48507,Zavala,TX,12.3,11.3,13.9,11.3,9.7,8.4,14.3,12.4,8.6,35046,52.3
